step,layer,gamma_mag,beta_mag,gamma_var_tokens,beta_var_tokens,val_loss,ppl
19000,0,0.98202,0.114604,0.000597,0.000351,4.7083,110.87
19000,1,1.286341,0.217209,0.016816,0.006635,4.7083,110.87
19000,2,1.326595,0.277981,0.036653,0.015648,4.7083,110.87
19000,3,1.377231,0.183366,0.035715,0.018459,4.7083,110.87
19000,4,1.347616,0.162658,0.028265,0.014876,4.7083,110.87
19000,5,1.287799,0.220863,0.06253,0.041867,4.7083,110.87
19000,6,1.324239,0.338431,0.05926,0.057672,4.7083,110.87
19000,7,1.248399,0.303274,0.072553,0.057193,4.7083,110.87
19000,8,1.501053,0.376584,0.172836,0.058598,4.7083,110.87
19000,9,1.822227,0.428694,0.192971,0.054157,4.7083,110.87
19000,10,2.061024,0.560413,0.316662,0.103972,4.7083,110.87
19000,11,2.436049,0.802094,0.376888,0.16338,4.7083,110.87
20000,0,0.985186,0.122308,0.000794,0.000478,4.6878,108.61
20000,1,1.322079,0.238589,0.014906,0.006104,4.6878,108.61
20000,2,1.351345,0.295412,0.039851,0.015842,4.6878,108.61
20000,3,1.408848,0.191475,0.035995,0.018887,4.6878,108.61
20000,4,1.348213,0.159373,0.023818,0.012537,4.6878,108.61
20000,5,1.278556,0.216686,0.06091,0.04008,4.6878,108.61
20000,6,1.344271,0.359807,0.061167,0.060184,4.6878,108.61
20000,7,1.237741,0.298648,0.072517,0.057574,4.6878,108.61
20000,8,1.470305,0.36386,0.165293,0.058267,4.6878,108.61
20000,9,1.727331,0.388852,0.188767,0.053058,4.6878,108.61
20000,10,1.942585,0.501802,0.282201,0.093863,4.6878,108.61
20000,11,2.258763,0.688128,0.425682,0.17891,4.6878,108.61
21000,0,0.991743,0.127797,0.00091,0.000534,4.6617,105.82
21000,1,1.3504,0.257016,0.018607,0.007521,4.6617,105.82
21000,2,1.356632,0.306655,0.04051,0.01598,4.6617,105.82
21000,3,1.416021,0.19306,0.034585,0.017307,4.6617,105.82
21000,4,1.337564,0.152484,0.026179,0.013285,4.6617,105.82
21000,5,1.28893,0.213093,0.058832,0.039143,4.6617,105.82
21000,6,1.361543,0.368962,0.055985,0.056349,4.6617,105.82
21000,7,1.266518,0.313131,0.076845,0.059723,4.6617,105.82
21000,8,1.491487,0.367197,0.179067,0.058882,4.6617,105.82
